"id";"Q1#1_1_1";"Q1#1_2_1";"Q1#1_3_1";"Q1#1_4_1";"Q1#1_5_1";"Q1#2_1";"Q1#2_2";"Q1#2_3";"Q1#2_4";"Q1#2_5";"Q2";"Q3";"Q4";"Q5";"Q5_1_TEXT";"Q5_2_TEXT";"Q5_3_TEXT";"Q6";"Q7";"Q8";"Q8_2_TEXT";"Q9#1_1_1";"Q9#1_2_1";"Q9#1_3_1";"Q9#2_1";"Q9#2_2";"Q9#2_3";"Q10";"Q10_2_TEXT";"Q11";"Q12";"Q13";"Q13_6_TEXT";"Q14";"Q15";"Q15_2_TEXT";"Q16";"Q16_2_TEXT";"Q17";"Q17_3_TEXT";"Q18";"Q19";"Q20"
2;"Fraude en (kennis-)toetsing";"Gelijke kansen online onderwijs";"Gedrag- en geestestoestand studenten";NA;NA;"0";"1";"1";NA;NA;"Toesting eindniveau's op afstand";"Iedere examinator en onderwijscommissie heeft de examencommissie benaderd om goedkeuring te geven voor wijzigingen in de toetsvorm.";"Wekelijkse gesprekken met directie en toetsorganisatie.";"Deze kwaliteitsaspecten wegen zwaarder, omdat...";NA;NA;"Toetsen op afstand brengt meer risico's met zich mee.";"Voor introductie wordt het voorgelegd aan de examencommissie. Zonder toestemming géén introductie.";"Dat de privacy van studenten niet onnodig wordt geschaad.";"Ja, namelijk...";"Via diverse (lopende) borgingsonderzoeken";NA;NA;NA;NA;NA;NA;"Ja, namelijk ...";"Fraude op kennistoetsen.";"Studenten zijn uitgenodigd bij de examencommissie. De examencommissie heeft streng gehandhaafd.";"Ja, wij zien een toename met ca. 1 tot 10%";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Take-home tentamen";NA;"Wellicht 'hoe te herkennen'. Vooral wanneer studenten via de computer sneller antwoorden kunnen aanpassen aan eigen schrijfstijl.";"Nee";NA;"Ja, dit heeft de volgende gevolgen:";"Er zijn verschillende categorieën. Gevolgen liggen met name in de op te leggen strafmaatregel.";"hbo";NA;"Groot (meer dan 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
3;"hoe betrouwbaar zijn de resultaten van online afgenomen toetsen?";"welke alternatieve toetsvormen zijn fraudebestendig?";"hoe gaan we om met het spanningsveld tussen studievoortgang en kwaliteitsbewaking";"hoe bewaren we de grens tussen examencommissie en examinatoren? hoe voorkomen we dat we op hun stoel gaan zitten?";NA;"1";"1";"1";"1";NA;"als we dit willen blijven doen, dan is de betrouwbaarheid van de resultaten het belangrijkst. ook met online surveillance (met alle AVG en technische beperkingen)  kunnen we nooit met zekerheid zeggen dat de student op eigen kracht het resultaat heeft gehaald. 
welke techniek gebruik je voor online surveillance? hoe is dit ook voor internationale studenten met minder ICT faciliteiten inzetbaar?";"tijdens de beginperiode had de examencommissie het mandaat van de medezeggenschap om besluiten te nemen over alternatieve toetsvormen. Dat is nu vervallen. De examencommissie wordt nog steeds betrokken bij de afnamecondities van toetsen.";"De toetsen vinden nu plaats volgens het bekende toetsrooster, met protocollen over de afname. Dit is nu niet anders dan voor Corona.";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"als het toetsen op niveau 1 of 2 betreft hanteren we enige coulance. op eindniveau is de kwaliteitsbewaking niet veranderd.";NA;"we zijn geinformeerd door ons toetscentrum, en zijn op de hoogte van de gehanteerde afname protocollen. de examencommissie ziet graag online surveillance bij kennistoetsen maar stimuleert het zoeken naar alternatieve toetsvormen waarbij studenten inzicht moeten tonen.";"als het puur om kennistoetsen gaat graag proctoring, maar met de kanttekening dat dit nooit toetsen zijn op eindniveau, en dat er dus enige coulance mogelijk is.";"Ja, namelijk...";"het eindniveau voor alle competenties zit nooit in een toets, maar altijd in een grote afsluitende individuele opdracht. de beoordeling hiervan is geborgd door het 4-ogen principe en het volgen van de door ons goedgekeurde handleiding. alle competenties moeten voldoende zijn in deze opdracht.";"duidelijkheid over de inzet van online surveillance liet op zich wachten";"duidelijkheid over alternatieve toetsvormen en de begeleiding van examinatoren hierbij liet op zich wachten (nog niet voldoende beschikbaar nu, maar wel beter)";"soms onduidelijk waarvoor de examencommissie wel en niet verantwoordelijk is, bv wel/geen online surveillance, planning en locatie van de toetsen, extra kansen in geval van problemen tijdens online surveillance";"Nee";"Ja";"Ja";"Ja, namelijk ...";"samenwerken via online tools tijdens tentamens, gebruik van niet toegestane tools tijdens tentamens.";"hoorzittingen met studenten georganiseerd, studenten geinformeerd over de mogelijkheid om toetsen ongeldig te verklaren als ze niet goed zichtbaar zijn tijdens online surveillance. de sancties waren conform het fraudeprotocol, wat we niet hebben aangepast.";"Ja, wij zien een toename met ca. 1 tot 10%";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Open vragen (o.a. korte of lange essayvragen),Take-home tentamen";NA;"een waterdicht online surveillance systeem zou prettig zijn, maar dit lijkt niet realistisch.";"Nee";NA;"Ja, dit heeft de volgende gevolgen:";"onregelmatigheid zou zijn niet kan worden vastgesteld hoe het toetsresultaat tot stand is gekomen (niet in beeld bv).
fraude is samenwerken, antwoorden delen, tools gebruiken die niet zijn toegestaan. dit leidt tot een Gemiste Kans of 2 Gemiste kansen, conform ons fraudeprotocol.";"hbo";NA;"Middel (5.000 tot 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";"ik werk bij een grote hogeschool, maar mijn antwoorden betreffen een faculteit met 5 opleidingen en 3000 studenten."
8;"De vraag of studenten zelfstandig de leeruitkomsten bereiken. Gebruik niet toegestane bronnen.";"De vraag of studenten op de juiste wijze zijn gesurveilleerd (online).";NA;NA;NA;"1";"1";NA;NA;NA;"Deskundigheid bij docenten + Toetscentrum.";"Het is een goed samenspel geweest tussen MT - examencommissie en medezeggenschap. Soms enige druk vanuit MT.";"Goed contact met het MT (6-wekelijks overleg).";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"Toetsen moeten altijd valide en betrouwbar zijn!";NA;"Positieve ontwikkeling, maar nog veel kinderziektes.";"Mogen wij bij Hanzehogeschool niet inzetten.";"Ja, namelijk...";"Ja: toetsen op eindniveau moeten fysiek worden afgenomen.";NA;NA;NA;NA;NA;NA;"Ja, namelijk ...";"Tijdens toets: gebruik andere bronnen dan toegestaan.";"Docenten meer aansturen, alle fraudemeldingen uitgebreid oppakken (hoorgesprekken etc.)";"Ja, wij zien een toename met ca. 1 tot 10%";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Open vragen (o.a. korte of lange essayvragen),Take-home tentamen";NA;"Een uitstekend werkende plagiaatmelder! Nu werken wij met Safe Assign, maar dat is niet bevredigend.";"Nee";NA;"Ja, dit heeft de volgende gevolgen:";"Fraude is geheel anders dan een onregelmatigheid. Sanctie bij onregelmatigheid altijd: toets ongeldig. Bij fraude ook andere sancties mogelijk.";"hbo";NA;"Groot (meer dan 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
10;"Identiteitscontrole";"Fraudebestrijding";"technische haalbaarheid online examens";NA;NA;"1";"1";"0";NA;NA;"Identiteitscontrole en fraudebestrijding. Is nog altijd niet waterdicht; nog niet op niveau vergelijkbaar met on-campus tentamens.";"Alle besluiten zijn via de examencommissie gegaan. Veel overleg met vice-decaan onderwijs, veel communicatie met opleidingsdirecteuren.";"Vastgelegd in OER en RR";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"Dat is de kern van ons werk.";NA;"Veel verwacht van proctorio, verwachtingen zijn niet uitgekomen. Duur systeem dat tot veel extra werk leidt.

Aselect studenten bellen na tentamen werkt vrij goed.";"Proctoring moet kosteneffectief zijn. De hoeveelheid PV's moet beheersbaar zijn, het percentage PV's die 'vals alarm' zijn moet naar beneden.";"Ja, namelijk...";"Nee - er is geen reden om aan te nemen dat het eindniveau niet gehaald wordt tijdens corona";"Nee. Vanuit de School en vanuit CvB is effectief gehandeld om kennis, geld en menskracht in te zetten.";NA;NA;"Nee";NA;NA;"Ja, namelijk ...";"Studenten die via telefoons, app, etc. antwoorden doorgeven.";"Reguliere sancties zijn toegepast. Fraude wordt hetzelfde bestraft als voor corona.";"Ja, wij zien een toename van 50% of meer";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Open vragen (o.a. korte of lange essayvragen),Take-home tentamen";NA;"Identiteitscontrole
Effectief proctor systeem";"Nee";NA;"Ja, dit heeft de volgende gevolgen:";"Onregelmatigheid wordt afgedaan met een waarschuwing. Fraude wordt bestraft met een sanctie.";"wo";NA;"Middel (5.000 tot 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
15;"De vraag of studenten tijdens het maken van individuele digitale toetsen (op afstand) samenwerken of niet toegestane (digitale) hulpmiddelen gebruiken";"De vraag of individuele toetsen (bedrijfspaperopdrachten, mondelinge toetsen) ter vervanging van identieke (digitale) toetsen wel voldoende valide en betrouwbaar zijn";"De feed back aan kandidaten waar onbedoeld tijdens de toets iets mis gaat krijgen niet tijdig feed back. Dit geeft onnodig 'gedoe' achteraf. Er zou meer on line real time feed abck moeten zijn.";NA;NA;"1";"1";"1";NA;NA;"De spanning tussen digitale mogelijkheden van monitoring en privacy aspecten";"Vanaf de start zijn aan alle opleidingen en examinatoren richtlijnen en instructies gegeven over de mogelijkheid en de consequentie van alternatieve toetsing. Daarnaast helpdesk functie voor vragen.";"Via de beschikking over actuele toetsplannen.";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"het oordeel over de kwaliteit van toetsing niet is veranderd.";NA;"Surveillance is verzwakt omdat niet on-line real time wordt meegekeken zoals dat tijdens fysieke tentamens wel het geval was. Er wordt dus tijdens de toets niet feed back gegeven aan kandidaten bij wie onbedoeld iets mis gaat. Dit is ten nadele van de over all kwaliteit van toetsing.";"Goed zicht op wat de kandidaat doet en raadpleegt tijdens de toets zodat de gewenste condities van de toets voldoende gewaarborgd kunnen worden.";"Ja, namelijk...";"Bij de analyse van tentamenresultaten en het dossieronderzoek wordt meer en specifieke aandacht besteed aan de naleving van de condities bij de keuze voor alternatieve toetsen.";"Proactieve melding van zorgpunten door opleidingsdirecteuren en/of examinatoren. Vermoed wordt mogelijk te 'simpele' en 'praktische' oplossingen worden gekozen die later niet recht te zetten zijn.";NA;NA;"Ja";NA;NA;"Ja, namelijk ...";"Whatsapp fraude is gemeld en ik vermoed dat dit type fraude algemeen is als gevolg van lastig tot niet op te sporen misbruik van de app.

";"Ongeldig verklaren van tentamens.Over aanpassing van de surveillanceprocedure (dubbele camera?) wordt nog nagedacht.";"Ja, wij zien een toename met ca. 1 tot 10%";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Open vragen (o.a. korte of lange essayvragen),Take-home tentamen";NA;"Beter zicht op (digitale) gedragingen van de kandidaten. Dit zou misschien kunnen door afgedwonen gebruik van een tentamenprogramma middels welke ook functiegebruik gemonitord/ gelogd kan worden.";"Ja, namelijk..";"Ook bij specifieke kleinere bedrijfsopdrachten gebruik maken van digitale plagiaatcontrole. Voorheen gebeurde dit minder.";"Ja, dit heeft de volgende gevolgen:";"Sommige onregelmatigheden worden bij eerste constatering eerder afgedaan met een waarschuwing. Bij recidive en overige volgt ongeldigverklaring tentamen.";"Anders, namelijk...";"Postgraduate onderwijs, executive masters e.d. (Business School van universiteit)";"Middel (5.000 tot 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";"Naleving van de privacy wetgeving bedreigt nu de validiteit en betrouwbaarheid van toetsing en daarmee wordt de waarde van diploma's en certificaten bedreigd. Hier moet snel een serieus antwoord op worden gevonden."
16;"Een belangrijk lastig punt was de centralistische benadering van het college van bestuur, met wat 'wel' en 'niet' acceptabel is bij digitaal toetsen.";"Wantrouwen van docenten naar studenten toe.";"Bereiken van docenten voor wat betreft de (on)mogelijkheden met toetsen op afstand";NA;NA;"1";"1";"0";NA;NA;"Ik denk dat we bij onze faculteit het toetsen op afstand redelijk op orde hebben. Docenten hebben over het algemeen veel creativiteit getoond, en de ondersteuning van Digitaal Toetsen was zondermeer uitstekend. Naar aanleiding van toetsen op afstand zijn we wel bezig met het herformuleren van cheating en plagiaat in onze Regels en Richtlijnen. Deze behoeft nuancering en meer aandacht voor het perspectief van de student.";"Soms zijn we leidend geweest (afkeuren van inzet studentassistenten voor nakijkwerk), veelal adviserend (welke methoden van toetsen passen er wel/niet, en hoe pak je dat aan), en ook heel vaak vraagbaak. We hebben voor de faculteit ook vrij snel een tips and trciks document gemaakt van waar je op moet letten bij toetsen op afstand.";"Dit wordt genoteerd in de aangepaste course guides waar nodig en geregistreerd door Educational Management.";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"We hebben geen redenen gevonden om deze balans anders te laten zijn.";NA;"Wij hebben andere vormen van toetsing gevonden, waarbij online proctoring (als jullie dat bedoelen) niet nodig was. Op kleine schaal hebben we live meekijken met studenten toegestaan, waarbij beelden niet worden opgenomen.";"Onze mening is dat er veel te veel aandacht wordt besteed aan online proctoring, en veel te weinig aan andere, alternatieve vormen. Bij onze faculteit maken we geen gebruik van deze vorm, of in zeer beperkte mate.";"Ja, namelijk...";"Dit is vooralsnog nog niet expliciet aan de orde geweest. Wel hebben we een redelijk overzicht van al dan niet gehaalde leerdoelen op cursusniveau.";"Nogmaals, wat we vooral gemist hebben is een constructief-creatieve benadering vanuit het CvB.";NA;NA;"Ja";NA;NA;"Ja, namelijk ...";"Het aantal potentiele fraudegevallen is gestegen van 4 naar ongeveer 70/80 in een jaar. Maar, een heel belangrijk leerpunt, is dat veel naar voren komt door meer (en soms irreeel) scannen op plagiaat (URKUND), inconcreet of onzorgvuldig formuleren van docenten. Daarnaast hebben studenten vaak niet in de gaten dat ze plagieren, door het doorkopieren van antwoorden van elders. In de praktijk blijkt zo'n 90% niet te beschouwen als fraude.";"LET OP: uw vraag suggereert dat meer fraudemeldingen uitsluitend op conto zijn van studenten. Onze ervaring is dat dit niet het geval is. Zie ook mijn antwoord in de vorige box. We zijn op dit moment onze regels en richtlijnen aan het aanpassen, waar expliciet ruimte is voor studenten om een weerwoord/verklaring te kunnen geven.
Wat bij ons een heel belangrijk aandachtspunt is, is dat de student onschuldig is tenzij fraude is aangetoond. Het centraal ongeldig verklaren van tentamens is bij ons dus niet aan de orde geweest tot nog toe.";"Ja, wij zien een toename van 50% of meer";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Open vragen (o.a. korte of lange essayvragen),Take-home tentamen,Mondeling tentamen met video-conferencing,Anders, namelijk ...";"Dit is niet (alleen) afhankelijk van de toetsvorm, maar ook (vooral) van de vraag, en de manier waarop vragen worden aangeboden.";"Een breder gedragen vertrouwen in de student, en vooralsnog niet meer tools. Ik denk dat tips en trick over het formuleren van vragen, en de aansluiting tussen toets en leerdoelen voor veel docenten nuttig is.";"Ja, namelijk..";"Ja, zie eerder ingevulde boxen.";"Ja, dit heeft de volgende gevolgen:";"Zo hebben we het niet geformuleerd, maar we passen het wel toe. De belangrijkste regel is dat in het OER, plagiaat hierarchisch onder fraude ('cheating') staat. O.i. kan er dus soms wel sprake zijn van plagiaat in strikte zin, maar we vinden het pas een probleem als het de 'toets van de student aan de leerdoelen' in de weg staat.";"wo";NA;"Groot (meer dan 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
17;"Betrouwbaarheid van toetsing";"Extra herkansingen vanwege quarantaineregels";"Fraudezaken";"Werkdruk bij medewerkers en ondersteuning";NA;"1";"1";"1";"1";NA;"Wij zien geen toetsing op afstand na Corona.";"Examencommissie zat goed in de loop als er aanpassingen gemaakt werden en wij konden dit goedkeuren/afwijzen.";"Examinatoren moeten wijzigingen rapporteren aan de examencommissie.";"Deze kwaliteitsaspecten wegen zwaarder, omdat...";NA;NA;"Toetsen op afstand blijkt inherent onbetrouwbaar.";"Pessimistisch. We zien bij grotere tentamens inherent geen mogelijkheid betrouwbaarheid te garanderen. Eerstejaarsvakken die meer een focus hebben op reproduceren zijn het meest gevoelig hiervoor. Je moet online toetsing wel open boek maken en dat is voor veel vakken een probleem.";"Dat er  geen enkel alternatief is.

Proctoring kan nu heel slecht omgaan met invoer formules en het maken van schetsen.";"Ja, namelijk...";"We zijn met opleidingen nadrukkelijk in overleg om te zien of eindtermen nog gegarandeerd kunnen worden als te veel toetsen inherent onbetrouwbaar worden afgenomen.";"De werkdruk is gewoon te hoog bij ook bij ondersteuners waardoor bijvoorbeeld ICT en onderwijskundige ondersteuning beperkt geleverd kon worden.";NA;NA;"Ja";NA;NA;"Ja, namelijk ...";"Vele vakken met massale fraude waarbij we geen of onvoldoende bewijskracht hadden om studenten te veroordelen maar waarbij statistisch duidelijk was dat fraude gepleegd is.";"Er zijn totale tentamens ongeldig verklaard; veel studenten zijn veroordeeld.";"Ja, wij zien een toename van 50% of meer";"Anders, namelijk ...";"Gesloten boek tentamens

";"-";"Nee";NA;"Nee";NA;"wo";NA;"Middel (5.000 tot 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
19;"onderling contact studenten tijdens tentamen";"kwaliteitsborging vragen";"tentamenomstandigheden studenten";NA;NA;"1";"0";"1";NA;NA;"geen na de cortona crisis";"We hebben samen met de onderwijscommisie en de facultaire instanties richtlijnen en tips opgesteld voor onze staf";"Is onderdeeel van de jaarlijke evaluatie van de cursussen binnen onze opleiding";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"deze niet mogen lijden. de praktische uitvoering maakt het wel moeilijker dit te waarborgen";NA;"Het vormde onderdeel van de maandelijks stafoverleggen. We hebben wel zorgen over de nieuwe vormen van toezicht, zoals cameratoezicht en opbellen.";"Daarover wordt verschillend gedacht. Zelf ben ik geen voorstander hiervan. Privacy moet absolouut gewaarborgd zijn en de studenten moeten zich niet bespioneerd voelen..";"Ja, namelijk...";"We hebben geen aanwijzing dat de kwaliteit daalt. aan de randen van het spectrum zien we studenten wel worstelen met motivatieen concentratie maar we proberen die  ism studieadviseurs en docentenoverleggen op te pakken.";NA;NA;NA;"Nee";"Nee";"Nee";"Nee";NA;NA;NA;"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen)";NA;"Duidelijke richtlijnen over proctering of eventueel (liever) alternatieven daarvoor.";"Nee";NA;"Nee";NA;"wo";NA;"Middel (5.000 tot 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
21;"veilig en transparant toetsen via schriftelijke examinering synchroon op campus lokatie en online";"betrouwbare en uitvoerbare oplossingen voor on-line proctoring";"omgaan met gerapporteerde technische problemen met digitale toetsing of proctoring. Zowel van de zijde van studenten als van proctoring/surveillance teams";"gebrek aan reglementaire middelen om door technische problemen benadeelde studenten tegemoet te komen";"moeizame bewijsbaarheid van fraude bij digitale toetsingen";"1";"1";"1";"1";"1";"alle bovenstaande aspecten";"zeer intensief op alle punten in de vraag.";"Onduidelijke vraagstelling. De feitelijke inrichting van de toetsing en de feitelijke gang van zaken rond de afname van toetsen is zorgvuldig gedocumenteerd. Borging van toetskwaliteit lijkt goed georganiseerd bij ons.";"Deze kwaliteitsaspecten wegen even zwaar, omdat...";NA;"Deze kwaliteitsaspecten wegen even zwaar omdat dit tot de taakstelling van de examencommissies behoort.";NA;"De instelling heeft bij het begin van de corona crisis binnen zeer korte tijd een delicaat besluit moeten nemen om Proctorio als surveillancemidddel te gebruiken voor digitale toetsing. Dat besluit was niet risicovrij, en in het afgelopen jaar zijn de examencommissies geconfronteerd met zowel voor als nadelen van deze wijze van surveillance. Er zijn zeer veel aspecten geëvalueerd, te veel om hier te noemen.";"Onduidelijke vraag. Er zijn meerdere vormen en uitvoeringen van on-line proctoring. Geheel digitaal, gedeeltelijk digitaal, on-line of a-posteriori inspectie, etc. 
Belangrijkste voorwaarde is het maximaliseren van validiteit, transparantie en betrouwbaarheid; het minimaliseren van de afhankelijkheid van technische middelen.";"Nee";NA;"De examencommissie heeft het afgelopen jaar zeer veel geïnvesteerd in kennis rond digitale toetsingen en kunnen steunen op zeer professionele ondersteuning naar docenten, en naar de examencommissie.";NA;NA;"Nee";NA;NA;"Ja, namelijk ...";"Te laat ingeleverde files met digitale resultaten, variërend van 1 minuut tot enkele weken te laat. 

Fraude of pogingen tot fraude met software om proctoring onmogelijk te maken.";"Aanscherping preventie, meldingen via centrale examencommissies, acties voor detecteren software, eventueel sancties.";"Ja, wij zien een toename met ca. 1 tot 10%";"Anders, namelijk ...";"Niet het soort vragen veroorzaakt fraudegevoeligheid, maar de wijze van invoering of beantwoording. Fraudegevoeligheid is het grootste als antwoorden bij digitale toetsen via toetsenbord worden ingevoerd.";"Uiterst robuuste software die niet interfereert met andere programma's, camera's blokkeert, microfoons uitschakelt, connectiviteit van computers overneemt, etc.";"Nee";NA;"Nee";NA;"wo";NA;"Middel (5.000 tot 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
23;"Betrouwbaarheid (en daarmee dus de validiteit) toetsing";"Stages; kunnen studenten hier aan voldoen op bijv. eindniveau";"Kwaliteit toetsing overige jaren (1-3)";NA;NA;"1";"1";"1";NA;NA;"Toetsafname en de eisen hieraan. Hoe organiseren van toetsing op afstand dat dit betrouwbaar is en dat het voor de student redelijkerwijs goed te doen is.";"Toestemming geven voor wijziging in leerdoelen en toetsvorm (gemandateerd gekregen vanuit opleidingscommissie en medezeggenschap).";"Toetscentrum Hogeschool draagt hier zorg voor. Zij organiseren de toetsen. uiteraard kan examencommissie hier aanpassingen in eisen voor specifieken delen/vakken of hele opleidingen. Dit kan beschreven worden. Daarnaast worden protocollen onregelmatigheden over afnamen aan examencommissie gemeld.";"Deze kwaliteitsaspecten wegen minder zwaar, omdat...";"Vanuit ons stafbureau Onderwijs & onderzoek hier advies over is gegeven. Kwaliteit moet in orde zijn, maar voor niet eindniveau is er meer speling dan voorheen werd genomen.";NA;NA;"Is centraal bepaald. Examencommissie kan uiteraard beslissen dat toetsen niet digitaal plaats mogen vinden door bepaalde redenen. Bij ons zijn we wel voorstander van surveillance, maar het is niet vergelijkbaar als bij fysiek.";"dat er menselijke surveillance aanwezig is
Helder protocol, juist voor studenten en andere betrokkenen";"Nee";NA;"Juridische kennis betrekking borging kwaliteit toetsing";NA;NA;"Nee";NA;NA;"Ja, namelijk ...";"Gebruik van bijv. google docs om tijdens open boek tentamen met elkaar te communiceren. In dit document werden aantekeningen bijgehouden, maar kon ook gecommuniceerd worden met anderen (delen van hun antwoorden met anderen, afstemming hierover).

Contact van studenten met andere studenten tijdens tentamens zonder surveillance of studenten die anderen hun tentamen laten maken.

studenten die op zelfde locatie tentamen maakten, terwijl die niet bij elkaar wonen.";"Ongeldigverklaring waar mogelijk.";"Nee";"Gesloten vragen (o.a. multiple-choice, ja/nee, invulvragen),Open vragen (o.a. korte of lange essayvragen)";NA;"controlesysteem om te kijken hoe studenten mogelijk via de computer met elkaar communiceren. Bijv. dat wanneer studenten in de toetsomgeving zijn, ze daar niet uit kunnen (niet naar ander tabblad kunnen) zonder het tentamen direct af te sluiten. Privacy studenten is zéér belangrijk hierin.";"Ja, namelijk..";NA;"Ja, dit heeft de volgende gevolgen:";"onregelmatigheid kan maximaal leiden tot ongeldigverklaring tentamenresultaat.";"hbo";NA;"Groot (meer dan 25.000 studenten)";"Ja, mijn antwoorden mogen publiek gedeeld worden";NA
